id;gene;pval;adjPVal
221980_at;EMILIN2;0.011505476063116;0.0291531134456986
203241_at;UVRAG;0.068375593089482;0.130948478064446
205978_at;KL;0.0437432899812431;0.0903334343154115
202277_at;SPTLC1;0.000252618476192973;0.00101063558059665
206761_at;CD96;0.15034461749135;0.246441380343104
213005_s_at;KANK1;1.9070939660859e-10;4.58509399307805e-09
207253_s_at;UBN1;0.000136448166934635;0.000581020089583381
217043_s_at;MFN1;0.00248646145877016;0.00771741339561681
202611_s_at;MED14;0.0857139925774168;0.157587696353363
207456_at;HNF4G;0.23832172923096;0.355973507627893
209505_at;NR2F1;1.40890407728947e-05;7.62515964254243e-05
209959_at;NR4A3;0.000305110884198951;0.00119839656746946
201605_x_at;CNN2;0.00159799544727579;0.00524085495326388
218639_s_at;ZXDC;0.0264377115471991;0.0592868645314947
202336_s_at;PAM;1.65455784454831e-05;8.81725582802343e-05
219158_s_at;NAA15;0.0258338834453392;0.0581308874790553
214730_s_at;GLG1;0.184726689738109;0.290973047134414
207168_s_at;H2AFY;0.543383883249749;0.661929777685702
218076_s_at;ARHGAP17;0.361300564179526;0.490222829081094
222005_s_at;GNG3;0.290358926457175;0.415102035285032
213497_at;ABTB2;0.0672565346769928;0.129320393191597
214786_at;MAP3K1;0.00209725509640612;0.00663962603577345
210648_x_at;SNX3;0.000803717330214098;0.00284755959923104
201771_at;SCAMP3;6.64885241123087e-07;5.09650232036838e-06
219480_at;SNAI1;0.751197000344315;0.828244545224855
213771_at;IRF2BP1;0.197300353777394;0.306682708308464
207685_at;CRYBB3;0.261790959334891;0.383244797845996
206843_at;CRYBA4;0.0369987729142455;0.0784662695460386
205087_at;RWDD3;0.017793083074042;0.0424035693083632
212910_at;THAP11;0.0744369232520662;0.140490702671699
204464_s_at;EDNRA;0.0253174526391824;0.0571953004870001
207091_at;P2RX7;0.924777582984446;0.950576913720993
209300_s_at;NECAP1;0.590944716747331;0.70134714721617
217228_s_at;ASB4;0.693484257822193;0.785818924253879
205126_at;VRK2;0.107764128132917;0.189196338985778
208692_at;RPS3;5.64934017066932e-08;5.85638895636052e-07
201277_s_at;HNRNPAB;0.000130120484609895;0.000557684709836443
203171_s_at;RRP8;0.00558469132793436;0.0155847792370168
205594_at;ZNF652;0.00124174267055294;0.00419121675681773
205792_at;WISP2;0.568061920462904;0.682875974002618
202925_s_at;PLAGL2;0.0426435778287656;0.0883543271486953
217162_at;TSPY1;0.457901112542114;0.584449179071109
203766_s_at;LMOD1;0.0932370097626985;0.168763442312619
218782_s_at;ATAD2;0.00179829355897005;0.0058108725960826
209016_s_at;KRT7;0.0241158797372186;0.0549775216037029
222272_x_at;SCIN;1.84091853688458e-05;9.62574803351361e-05
201097_s_at;ARF4;0.027291360411942;0.0608518972481004
208156_x_at;EPPK1;3.93286699465728e-08;4.27926050193258e-07
209250_at;DEGS1;0.000808127110736112;0.00285966746063483
202020_s_at;LANCL1;0.00169855753248557;0.00553004329977465
201806_s_at;ATXN2L;0.000701754947973917;0.00251601386853166
205451_at;FOXO4;0.738830354069548;0.818797720643337
201947_s_at;CCT2;0.261869274362829;0.383314561302434
208578_at;SCN10A;0.262965731032811;0.384469368421495
205730_s_at;ABLIM3;1.15454496842417e-06;8.34824823322092e-06
221950_at;EMX2;8.60040679920829e-08;8.4199127489195e-07
208770_s_at;EIF4EBP2;2.96106221793858e-10;6.62239711067409e-09
206940_s_at;POU4F1;8.19839991060208e-05;0.000369489530217546
205930_at;GTF2E1;0.097991144014234;0.175362909027477
222104_x_at;GTF2H3;0.0111330824025084;0.0283416404390471
209731_at;NTHL1;3.8241729780309e-05;0.000186538472771527
207810_at;F13B;0.00921050196232753;0.0240848557902152
200873_s_at;CCT8;0.909816405206833;0.940276489864911
203618_at;FAIM2;0.0027008483560124;0.00829631600660122
211315_s_at;CACNA1G;0.838664750622923;0.891538422192782
212824_at;FUBP3;0.0416108637866852;0.0865733098787051
201687_s_at;API5;0.860150385414309;0.906789880209835
208449_s_at;FGF8;0.58150124683933;0.694414720052068
204968_at;C6orf47;0.49782008458242;0.621318428416634
204265_s_at;GPSM3;0.663339614773173;0.760832281091212
206560_s_at;MIA;0.83732297907109;0.890305484295524
217936_at;ARHGAP5;0.304738749347895;0.4310265691082
220160_s_at;KPTN;0.068106036663219;0.130552234033052
200924_s_at;SLC3A2;1.89689674149988e-08;2.23937705970081e-07
206766_at;ITGA10;0.415238510279988;0.545134081226548
206807_s_at;ADD2;0.632928525372351;0.736462576460326
210311_at;FGF5;0.506871729140135;0.629598644581219
210141_s_at;INHA;0.000135659804071325;0.000578021957353243
206952_at;G6PC;0.00541369663243085;0.0151651434682166
221673_s_at;CSNK1G1;0.0640798732992066;0.124302028857515
209087_x_at;MCAM;0.00322196206868644;0.00968292542853795
216220_s_at;ADORA1;0.0378978952467913;0.0800336970228691
220821_at;GALR1;0.0507272026249657;0.102173592269586
200959_at;FUS;0.000158573156651194;0.000666229978291952
213165_at;CEP350;0.00716028579481011;0.0193259699928143
